央视频道,#genre#
(粤)天映电影,http://8.218.84.3:8885/live/LxWcScuQ6WphaELY4DhkKm8SIv7_ZgNIJtNvFurqphvyqxUIU84OjKVCwFxMq9iUpZ57DWtawgDqgk9ACxtn4jiBP0cerBARIchLkr3toabErFqZtDM11akY90Jbm38K8WFN9oD2PoGDKPsA4tPueSeYEuvDzdDnU0eiD_pai2CpkZaWN77jSqsyg-1kueGxVbEurlDxT61NOkMysqEK9tEAmNsnrDuGJ85x52916g7BhJMHxUgrPucj8vNJVkacMpDsecyLVNDFKfczbBFE7g.m3u8?u=1756878715

*NecoChannel,https://nl.utako.moe/neco/index.m3u8

-汕尾生活,https://iswtv.swrtv.com/live/whshpd.m3u8

-汕尾综合,https://iswtv.swrtv.com/live/xwzhpd.m3u8

0,https://www.goodiptv.club/douyu/9559158
0,https://live.ottiptv.cc/yy/1382851580

0小行家0,https://live.ottiptv.cc/douyu/9280356

0首精选慢摇点播,https://txmov2.a.kwimgs.com/bs3/video-hls/5224175695511900493_hlsb.m3u8

1,https://www.goodiptv.club/douyu/4549169
1,https://www.goodiptv.club/douyu/11931032
1,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200f2e0000c168k29lbce321ps0e30&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname
1,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000c53lp4jc77ucg5itrtgg&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname
1,https://stream.ads.ottera.tv/playlist.m3u8?network_id=14

10,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000capcotrc77u4a2lm3j2g&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname

107秦腔商芳会辕门斩子,http://gcw.bdcdn.shoujiduoduo.com/v/190127/9d0b617538e671622e3db152c892e838.mp4

11,https://www.goodiptv.club/douyu/74374
11,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000cmog71bc77u0ct76qgu0&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname

1100买头羊,http://vd4.bdstatic.com/mda-kghmm8wqwjvp97gm/hd/mda-kghmm8wqwjvp97gm.mp4?auth_key=1655032152-0-0-e46ffacd02ed77fb1e67b3ad5a8fcff0&bcevod_channel=searchbox_feed&pd=1&cd=0&pt=3&logid=2352305816&vid=17960476347117941562&abtest=all

11323|æ¾œéœ²ç›´æ’­,http://tvpull.dxhmt.cn:9081/tv/11323-1.m3u8

11No巴蒂11,https://live.ottiptv.cc/douyu/9455937

12,https://www.goodiptv.club/douyu/12817608
12,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0d00fg10000ca70strc77u4d69n89t0&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname

12道锋味专场,https://live.ottiptv.cc/huya/30080162

13,https://www.goodiptv.club/douyu/12816797
13,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0d00fg10000cij3l0jc77u3icn4a5f0&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname

15,https://www.goodiptv.club/douyu/3439096
15,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300f310000bqai155omciggqmbjs10&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname

16,https://www.goodiptv.club/douyu/5908256
16,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000cagpgsbc77uaabt95s40&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname

17号说动漫,https://live.ottiptv.cc/douyu/9822277

18,https://www.goodiptv.club/douyu/922564
18,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000cea1cmjc77u6oags3i6g&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname

19,https://www.goodiptv.club/douyu/5875025
19,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000cj574fjc77u6kmde8830&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname

1900影剧室,https://live.ottiptv.cc/douyu/7796193

1905å›½äº§ä½³ç‰‡|æ¾œéœ²ç›´æ’­,http://xxwx.yoesun.com/xxw/1905ç”µå½±ç½‘.php?id=1905

1905æµ�é‡‘å²�æœˆ,https://cdn.jdshipin.com/1905.php

1905ç”µå½±ç½‘|æ¾œéœ²ç›´æ’­,http://php.jdshipin.com:8880/1905.php?id=1905dy

1905ç�¯ç�ƒç»�å…¸,http://8.138.7.223/tv/1905.php?id=LIVE8J4LTCXPI7QJ5

1905ç�¯ç�ƒç»�å…¸|æ¾œéœ²ç›´æ’­,http://xxwx.yoesun.com/xxw/1905ç”µå½±ç½‘.php?id=1905b

1905电影网,http://150.138.77.132:10037/1905%E7%94%B5%E5%BD%B1%E7%BD%91.php?id=1905a

1905电影网流金岁月,http://129.211.14.102:25000/1905.php?t=1&id=LIVEOYY31H24H48NE&token=www.9kds.com

1905电影网环球经典,http://129.211.14.102:25000/1905.php?t=1&id=LIVE8J4LTCXPI7QJ5_261&token=www.9kds.com

1930年代经典电影,https://live.ottiptv.cc/yy/1356363815

1ZEELIVING,http://nor2live.win:80/livehttpplay?channel_id=23207

1å®‰å¾½å½±è§†|æ¾œéœ²ç›´æ’­,https://ahlive.ahwanyun.cn/live/8534e69a9af14e41a362bcef71d7896f/hls.m3u8

1å®‰å¾½ç»�æµ�|æ¾œéœ²ç›´æ’­,https://ahlive.ahwanyun.cn/live/5c6207583a334b048f77dddf370bd840/hls.m3u8

1本道_,https://vip4.ddyunbo.com/20210208/uWwFdRB7/index.m3u8
1本道_,https://vip4.ddyunbo.com/20191201/yKe6LATy/index.m3u8

1本道_0,https://vip4.ddyunbo.com/20191203/kT2Rfcof/index.m3u8
1本道_0,https://vip4.ddyunbo.com/20210202/cOf9FXgF/index.m3u8?skipl=1

1本道_05,https://vip4.ddyunbo.com/20210202/jnSPf5L7/index.m3u8?skipl=1

1本道_1,https://vip4.ddyunbo.com/20210210/IjSENz6s/index.m3u8
1本道_1,https://vip4.ddyunbo.com/20190908/1oZ5V2g2/index.m3u8
1本道_1,https://vip4.ddyunbo.com/20191203/eKcaCDs1/index.m3u8
1本道_1,https://vip4.ddyunbo.com/20191201/8UTueLDg/index.m3u8

1本道_10,https://vip4.ddyunbo.com/20210202/jnSPf5L7/index.m3u8
1本道_10,https://vip4.ddyunbo.com/20191206/D2NceISA/index.m3u8

1本道_101,https://vip4.ddyunbo.com/20190801/68w4hmaH/index.m3u8

1本道_102,https://vip4.ddyunbo.com/20191203/AdOtik4n/index.m3u8

1本道_105,https://vip4.ddyunbo.com/20191203/lrQfHler/index.m3u8

1本道_106,https://vip4.ddyunbo.com/20191203/5E24xFQu/index.m3u8

1本道_107,https://vip4.ddyunbo.com/20191206/wElIhu09/index.m3u8

1本道_109,https://vip4.ddyunbo.com/20191130/5D8rho9Y/index.m3u8

1本道_11,https://vip4.ddyunbo.com/20210202/6wLYbWPq/index.m3u8
1本道_11,https://vip4.ddyunbo.com/20191206/KlOfpmXm/index.m3u8
1本道_11,https://vip4.ddyunbo.com/20190703/TS1mxp2x/index.m3u8

1本道_110,https://vip4.ddyunbo.com/20191125/b7iK6Oay/index.m3u8

1本道_111,https://vip4.ddyunbo.com/20191118/pa08NZI8/index.m3u8

1本道_113,https://vip4.ddyunbo.com/20191208/YoOOpIoB/index.m3u8

1本道_115,https://vip4.ddyunbo.com/20191128/bhlfixkB/index.m3u8

1本道_118,https://vip4.ddyunbo.com/20191020/HFA1EICB/index.m3u8

1本道_119,https://vip4.ddyunbo.com/20190725/QoR2tEMa/index.m3u8

1本道_12,https://vip4.ddyunbo.com/20190904/HqGckgKl/index.m3u8
1本道_12,https://vip4.ddyunbo.com/20191127/28kOylU9/index.m3u8

1本道_123,https://vip4.ddyunbo.com/20191206/beXglix7/index.m3u8

1本道_13,https://vip4.ddyunbo.com/20190904/m94xaoPh/index.m3u8
1本道_13,https://vip4.ddyunbo.com/20190712/AWmTfG0V/index.m3u8
1本道_13,https://vip4.ddyunbo.com/20190924/1r6n6c3u/index.m3u8

1本道_137,https://vip4.ddyunbo.com/20191205/ZhyfTfzD/index.m3u8

1本道_138,https://vip4.ddyunbo.com/20191209/Cg46YFFD/index.m3u8

1本道_15,https://vip4.ddyunbo.com/20190904/wJoZlwtT/index.m3u8
1本道_15,https://vip4.ddyunbo.com/20191203/PldaO4lb/index.m3u8

1本道_151,https://vip4.ddyunbo.com/20191206/DRjLLulI/index.m3u8

1本道_152,https://vip4.ddyunbo.com/20191208/F59kEATh/index.m3u8

1本道_153,https://vip4.ddyunbo.com/20191205/u11PSJcw/index.m3u8

1本道_155,https://vip4.ddyunbo.com/20191206/AYu0BDSt/index.m3u8

1本道_156,https://vip4.ddyunbo.com/20191211/M3q09qGG/index.m3u8

1本道_16,https://vip4.ddyunbo.com/20190904/ZnGN7sEl/index.m3u8
1本道_16,https://vip4.ddyunbo.com/20191109/7zPRNKbZ/index.m3u8
1本道_16,https://vip4.ddyunbo.com/20191120/c3IW5efi/index.m3u8

1本道_163,https://vip4.ddyunbo.com/20191121/5fNyVOF0/index.m3u8

1本道_17,https://vip4.ddyunbo.com/20191208/0gSaR7IX/index.m3u8

1本道_173,https://vip4.ddyunbo.com/20191201/XJwjwidw/index.m3u8

1本道_175,https://vip4.ddyunbo.com/20190918/dW0J9fzv/index.m3u8

1本道_176,https://vip4.ddyunbo.com/20191125/vpMcTD6O/index.m3u8

1本道_18,https://vip4.ddyunbo.com/20190908/ETghLd5D/index.m3u8

1本道_182,https://vip4.ddyunbo.com/20191203/nYjY9u2u/index.m3u8

1本道_186,https://vip4.ddyunbo.com/20191110/7bbcTr2N/index.m3u8

1本道_187,https://vip4.ddyunbo.com/20191127/65PpXoMw/index.m3u8

1本道_19,https://vip4.ddyunbo.com/20191108/iI37Slwz/index.m3u8

1本道_197,https://vip4.ddyunbo.com/20190924/cJ5trNUQ/index.m3u8

1本道_2,https://vip4.ddyunbo.com/20210209/dEzJjeSU/index.m3u8
1本道_2,https://vip4.ddyunbo.com/20191204/jouQzYVh/index.m3u8

1本道_20,https://vip4.ddyunbo.com/20190908/zSd2DI9R/index.m3u8

1本道_202,https://vip4.ddyunbo.com/20191203/52ec89LM/index.m3u8

1本道_207,https://vip4.ddyunbo.com/20191206/KcxaHKNK/index.m3u8

1本道_208,https://vip4.ddyunbo.com/20191130/aACNUDUx/index.m3u8

1本道_211,https://vip4.ddyunbo.com/20191110/NwogQedH/index.m3u8

1本道_219,https://vip4.ddyunbo.com/20191201/Lwlr3Bkj/index.m3u8

1本道_22,https://vip4.ddyunbo.com/20191203/eBg5Mcqa/index.m3u8

1本道_227,https://vip4.ddyunbo.com/20191201/K4Kv3dAa/index.m3u8

1本道_23,https://vip4.ddyunbo.com/20191212/HePcXP5K/index.m3u8
1本道_23,https://vip4.ddyunbo.com/20191028/bnoZp1dl/index.m3u8

1本道_26,https://vip4.ddyunbo.com/20191201/YEg5oWil/index.m3u8

1本道_261,https://vip4.ddyunbo.com/20190729/aN7GcbnY/index.m3u8

1本道_268,https://vip4.ddyunbo.com/20191208/BS0JwI5Z/index.m3u8

1本道_27,https://vip4.ddyunbo.com/20191102/thRqkr3J/index.m3u8

1本道_275,https://vip4.ddyunbo.com/20191008/ONnuL7h3/index.m3u8

1本道_276,https://vip4.ddyunbo.com/20190904/f9ADZ1CY/index.m3u8

1本道_277,https://vip4.ddyunbo.com/20190904/UfqniQi1/index.m3u8

1本道_278,https://vip4.ddyunbo.com/20191211/FFE0h29v/index.m3u8

1本道_280,https://vip4.ddyunbo.com/20191121/VmpUGI2G/index.m3u8

1本道_281,https://vip4.ddyunbo.com/20190909/jRVMH9sc/index.m3u8

1本道_29,https://vip4.ddyunbo.com/20191102/E6lR5iaR/index.m3u8

1本道_3,https://vip4.ddyunbo.com/20210208/6LaKp6lZ/index.m3u8
1本道_3,https://vip4.ddyunbo.com/20191007/IFlq5eON/index.m3u8
1本道_3,https://vip4.ddyunbo.com/20190824/InhHOPJz/index.m3u8

1本道_301,https://vip4.ddyunbo.com/20191213/J6Cv9gPJ/index.m3u8

1本道_305,https://vip4.ddyunbo.com/20191128/dkDIOfQC/index.m3u8

1本道_306,https://vip4.ddyunbo.com/20191130/c6PcG5MJ/index.m3u8

1本道_309,https://vip4.ddyunbo.com/20191111/DlyNFtz9/index.m3u8

1本道_31,https://vip4.ddyunbo.com/20191112/xgfe7yP7/index.m3u8

1本道_310,https://vip4.ddyunbo.com/20191106/yFE2T1bI/index.m3u8

1本道_311,https://vip4.ddyunbo.com/20191128/0UFCYn1m/index.m3u8

1本道_313,https://vip4.ddyunbo.com/20191208/2uX0tXFP/index.m3u8

1本道_315,https://vip4.ddyunbo.com/20191204/vbdhMyr9/index.m3u8

1本道_317,https://vip4.ddyunbo.com/20191211/mKHj4MjF/index.m3u8

1本道_36,https://vip4.ddyunbo.com/20190907/PH1oGegu/index.m3u8

1本道_37,https://vip4.ddyunbo.com/20191206/aIGd1S2S/index.m3u8

1本道_39,https://vip4.ddyunbo.com/20191209/eOWqpnjK/index.m3u8

1本道_396,https://vip4.ddyunbo.com/20210210/IjSENz6s/index.m3u8?skipl=1

1本道_5,https://vip4.ddyunbo.com/20210208/EZRbwZn4/index.m3u8
1本道_5,https://vip4.ddyunbo.com/20191211/EmnFBcTv/index.m3u8

1本道_50,https://vip4.ddyunbo.com/20191111/YQ1Jvlo7/index.m3u8

1本道_51,https://vip4.ddyunbo.com/20191203/mXPJeA8L/index.m3u8

1本道_56,https://vip4.ddyunbo.com/20191207/3l1NKbd9/index.m3u8

1本道_58,https://vip4.ddyunbo.com/20191121/NoBsuuFA/index.m3u8

1本道_6,https://vip4.ddyunbo.com/20210207/Lyhqjp3z/index.m3u8
1本道_6,https://vip4.ddyunbo.com/20191104/NAZTGvOC/index.m3u8

1本道_7,https://vip4.ddyunbo.com/20210203/DYtc79vE/index.m3u8
1本道_7,https://vip4.ddyunbo.com/20190724/fpVllSSA/index.m3u8

1本道_71,https://vip4.ddyunbo.com/20191128/J5nWdwcz/index.m3u8

1本道_77,https://vip4.ddyunbo.com/20191104/5Br1zP28/index.m3u8

1本道_8,https://vip4.ddyunbo.com/20210202/cy0urBhD/index.m3u8
1本道_8,https://vip4.ddyunbo.com/20191115/nz0OLAD7/index.m3u8
1本道_8,https://vip4.ddyunbo.com/20191207/p0zvtDBY/index.m3u8

1本道_80,https://vip4.ddyunbo.com/20191205/0oLr2jlQ/index.m3u8

1本道_81,https://vip4.ddyunbo.com/20191110/Z3mWJbrz/index.m3u8

1本道_82,https://vip4.ddyunbo.com/20190724/SRcabvNZ/index.m3u8

1本道_83,https://vip4.ddyunbo.com/20191127/52rP822O/index.m3u8

1本道_85,https://vip4.ddyunbo.com/20191208/dw94ieYl/index.m3u8.

1本道_87,https://vip4.ddyunbo.com/20191210/tyN6I80q/index.m3u8

1本道_88,https://vip4.ddyunbo.com/20191122/QMk66MvN/index.m3u8

1本道_89,https://vip4.ddyunbo.com/20191206/trGVPzmt/index.m3u8

1本道_9,https://vip4.ddyunbo.com/20210202/cOf9FXgF/index.m3u8

1本道_90,https://vip4.ddyunbo.com/20191010/xcMAZOOw/index.m3u8

1本道_91,https://vip4.ddyunbo.com/20191207/tBB5RkgE/index.m3u8

2,https://www.goodiptv.club/douyu/431460
2,https://www.goodiptv.club/douyu/7459925
2,https://www.goodiptv.club/douyu/7642724
2,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000ckhor8rc77udh8cjbnng&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname
2,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000c45srlbc77u7un1eeoeg&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname

20,https://www.goodiptv.club/douyu/299854

2002TEONE演唱会完整版,https://vd3.bdstatic.com/mda-nmgdfvsm9kc46pcz/576p/h264/1671270120913302151/mda-nmgdfvsm9kc46pcz.mp4

2007年世界巡回演唱会完整版,https://vd4.bdstatic.com/mda-nmbgya8v797emg7u/576p/h264/1670847005358747234/mda-nmbgya8v797emg7u.mp4

200无与伦比演唱会完整版,https://vd4.bdstatic.com/mda-nmbpre7yr8iug4m1/576p/h264/1670863877948761917/mda-nmbpre7yr8iug4m1.mp4

2010时代演唱会完整版,https://vd2.bdstatic.com/mda-nmc4khkjnn0k62bn/360p/h264/1670901524505595792/mda-nmc4khkjnn0k62bn.mp4

20130928李豁子唱段.表演艺术家李天方演唱,http://gcw.bdcdn.shoujiduoduo.com/v/190304/951409acd26e4d06be3d1b6ea1bc4ad8.mp4

2013摩天轮演唱会完整版,https://vd4.bdstatic.com/mda-nmcex5u2u9puxz6d/576p/h264/1670928165588976698/mda-nmcex5u2u9puxz6d.mp4

2016地表最强演唱会完整版,https://vd2.bdstatic.com/mda-nmd5ujxqrmxh59qj/576p/h264/1670992604552514459/mda-nmd5ujxqrmxh59qj.mp4

2021《精选5首酒吧J舞曲》,https://vdse.bdstatic.com//0e59c29ddbc68ed60dce8a6f4631c1f1.mp4
2021《精选5首酒吧J舞曲》,http://vdse.bdstatic.com//0e59c29ddbc68ed60dce8a6f4631c1f1.mp4

2021一夜火爆几首J舞曲,https://vdse.bdstatic.com//1fc9fd16e02ca272bb81666b85bf4135.mp4
2021一夜火爆几首J舞曲,http://vdse.bdstatic.com//1fc9fd16e02ca272bb81666b85bf4135.mp4

2021五首女声伤感J情歌精品,https://vdse.bdstatic.com//c92e81328ef6d13ba7d44e6eb80f9f1e.mp4
2021五首女声伤感J情歌精品,http://vdse.bdstatic.com//c92e81328ef6d13ba7d44e6eb80f9f1e.mp4

2021伤感洗脑神曲,https://vdse.bdstatic.com//8ad29ca92a901b9992431cf0c5266101.mp4
2021伤感洗脑神曲,http://vdse.bdstatic.com//8ad29ca92a901b9992431cf0c5266101.mp4

2021年最好听的J串烧,https://vdse.bdstatic.com//cd396057d1fbcb12f0600d38a16effbc.mp4

2021年最火伤感音乐,https://vdse.bdstatic.com//6d39df48360bdb12f73800397c4a6c02.mp4

2021年网络火爆伤感情歌6首,https://vdse.bdstatic.com//80e0473f97055cec1c9c76c1c7e5498a.mp4

2021最佳伤感情歌,https://vdse.bdstatic.com//59c5abc138bf1da5585bb765c530137e.mp4
2021最佳伤感情歌,http://vdse.bdstatic.com//59c5abc138bf1da5585bb765c530137e.mp4

2021热门伤感J,https://vdse.bdstatic.com//06b4e9b185b843e694e4d20e9b0a0aac.mp4

2021爆红《6首女生版伤感J》,https://vdse.bdstatic.com//2e77709380ad7e6163e80c4d5c179689.mp4
2021爆红《6首女生版伤感J》,http://vdse.bdstatic.com//2e77709380ad7e6163e80c4d5c179689.mp4

2022伤感J串烧dj,https://vd2.bdstatic.com/mda-ncm68fx91zybkka3/cae_h264_delogo/1647925011440022023/mda-ncm68fx91zybkka3.mp4

2022几首J串烧,https://vd3.bdstatic.com/mda-nck3tqzgjvj076vc/sc/cae_h264_delogo/1647833645083560959/mda-nck3tqzgjvj076vc.mp4

2025é¦™æ¸¯å°�å§�,https://v.cdnlz21.com/20250901/15287_01c1f360/index.m3u8

2026-0-1916::13,https://cdn.jsdelivr.net/gh/feiyang666999/testvideo/time/time.mp4

2026-0-1916::7,https://cdn.jsdelivr.net/gh/feiyang666999/testvideo/time/time.mp4

2026-0-1916::9,https://cdn.jsdelivr.net/gh/feiyang666999/testvideo/time/time.mp4

2026/02/2622:03:55,https://gh-proxy.org/https://github.com/bang359/dsj/raw/main/dashang.mp4

202年春节档,https://lvbdcdncmn.inter.71edge.com/tslive/l1/c51_lb_1018_300_t10/FVCO_jz_IvuxsWIbLCEvdstzbdQ5JLXxRlDL_J0vn0ZfgVYlA8ZxkNsXDoN4tEEtdVVarW6sgCF_YG8SB_oH0KY1zskp9-1iKJVEaWYyfIcsLVb4uKAdavgO_OSZkELLKJjUkk8t-S2ZKMnCiMEnykukS-GLvkY3RPIYLqhh_sgtY8UdWfdJc3EC9bm2mWz6FtFwc60bdNNWJi8gc-IP6buv-YaAeEN1nX9gHHHlH-fHifCyKKz5ppVfKts6RkTExgx82j5eLn6Mhz1s-bWGltEsWZfVmO_fakc0UlGwpKI9Sib9yjNKUMrfspPL8C80AuU4zeRqbSgkzjAcoovjnw/19eafbac982c8ac667d9bbc7c395db940/c51_lb_1018_300_t10.m3u8?key=0baa5db205ac0d296d2a304d3de433222&dis_t=1752408161&uuid=6f1d53dc-6873a061-45a&qdpv=3&qd_bid=1&qd_sft=0&pv=0.1&cpt=0

21,https://www.goodiptv.club/douyu/4290711
21,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000caiv8u3c77uclsl616i0&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname

21年J爆红网络洗脑神曲,https://vdse.bdstatic.com//bf4bb1d82b2eb17681c49e745dc2da21.mp4
21年J爆红网络洗脑神曲,http://vdse.bdstatic.com//bf4bb1d82b2eb17681c49e745dc2da21.mp4

22,https://www.goodiptv.club/douyu/6027991
22,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000ch3vhqjc77u1uolbon1g&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname

23,https://www.goodiptv.club/douyu/329667
23,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000citu8rvog65k6lms6p9g&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname

25,https://www.goodiptv.club/douyu/5635000
25,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000cea4aobc77u40bs4m560&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname

26,https://www.goodiptv.club/douyu/260322
26,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000cdfl5vrc77u84a2ndsog&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname

260元小甲鱼,http://vd4.bdstatic.com/mda-nf29yjvnrcqwwy2q/480p/h264/1654240313985806512/mda-nf29yjvnrcqwwy2q.mp4?auth_key=1655032564-0-0-747aa1c4fdd90716418995aa885348a7&bcevod_channel=searchbox_feed&pd=1&cd=0&pt=3&logid=2764614902&vid=9984932099035144842&abtest=all

27,https://www.goodiptv.club/douyu/3928

28,https://www.goodiptv.club/douyu/6911044
28,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000cics5f7og65l7400ilo0&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname

28岁电影,https://live.ottiptv.cc/douyu/8884164

29,https://www.goodiptv.club/douyu/10084875
29,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000cf4up43c77uaf3l9q61g&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname

2h唐朝诡实录123,https://live.ottiptv.cc/yy/1353913646

2h我爱我家喜剧,https://live.ottiptv.cc/yy/1356212303

2×7音乐,https://live.ottiptv.cc/huya/30483433

2å››å·�ç§‘æ•™|æ¾œéœ²ç›´æ’­,http://182.150.115.21:8030/pcgacg/pcgacg_0.m3u8

2地下交通站全,https://live.ottiptv.cc/yy/37880083

2小时城市联赛轮播台,http://hlsztemgsplive.miguvideo.com:8080/migu/lunbo/ouzhoubei/50/20240603/index.m3u8?msisdn=20260419160231b16770de54bb44a987aff9d05c83ed0f&mdspid=&spid=800033&netType=0&sid=5910022136&pid=2028597139&timestamp=20260419160231&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=915512915&ParentNodeID=-99&assertID=5910022136&client_ip=171.8.79.254&SecurityKey=20260419160231&promotionId=&mvid=5900006618&mcid=500020&playurlVersion=WX-A1-9.3.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=0a97311e439ec10704c1619360ec35d2

2小时循环播电视剧,https://live.ottiptv.cc/yy/53320802

2小时点歌台,https://live.ottiptv.cc/huya/25261191

2小时音乐,http://live.iill.top/douyin/11810687

2年11月10日更新,http://119.129.172.50:9999/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0

3,https://www.goodiptv.club/douyu/3186217
3,https://www.goodiptv.club/douyu/12655369
3,https://www.goodiptv.club/douyu/2793084
3,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000chhtifrc77u4qbblddbg&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname

30,https://www.goodiptv.club/douyu/6091425

3030相声小品,https://goodiptv.club/douyu/9286868
3030相声小品,http://live.nctv.top/douyu1.php?id=9286868
3030相声小品,https://live.ottiptv.cc/douyu/9286868

30è€Œå·²,https://www.goodiptv.club/huya/21059609

31,https://www.goodiptv.club/douyu/4105989

32,https://www.goodiptv.club/douyu/5522351

326FCT-205,https://t33.cdn2020.com/video/m3u8/2025/12/30/2e0dc0e6/index.m3u8

33,https://www.goodiptv.club/douyu/12128227

35,https://www.goodiptv.club/douyu/5261342

36总局：势不两立,http://v.lzcdn25.com/20250301/31_90e2ce85/index.m3u8

37,https://www.goodiptv.club/douyu/7812810

38,https://www.goodiptv.club/douyu/12183882

38度6,http://alimov2.a.kwimgs.com/upic/2023/11/16/13/BMjAyMzExMTYxMzExNDJfMzM5Njk4MTMyNl8xMTcyNzU3MDE3NTZfMF8z_b_B6e340974a0d46c08d1013ff23c7f6b17.mp4

39,https://www.goodiptv.club/douyu/1006179

